order,requested_title,selected_title,recipe_id,recipe_version,review_type,reviewer_code,reviewed_at,score,result,notes,evidence_path,db_recipe_id,source_record_id
12,돼지고기 김치찌개,돼지고기 김치찌개,curated-pork-kimchi-jjigae,phase5-sha256-8871bb2d1437f74c32a57bfa,legal_source,,,,pending,,,,
12,돼지고기 김치찌개,돼지고기 김치찌개,curated-pork-kimchi-jjigae,phase5-sha256-8871bb2d1437f74c32a57bfa,image_rights,,,,pending,,,,
13,미역국,미역국,beginner-recipe-064,phase5-sha256-d007cf5ede24cc05fce1529a,beginner,,,,pending,,,,
13,미역국,미역국,beginner-recipe-064,phase5-sha256-d007cf5ede24cc05fce1529a,food_safety,,,,pending,,,,
13,미역국,미역국,beginner-recipe-064,phase5-sha256-d007cf5ede24cc05fce1529a,legal_source,,,,pending,,,,
13,미역국,미역국,beginner-recipe-064,phase5-sha256-d007cf5ede24cc05fce1529a,image_rights,,,,pending,,,,
14,북엇국,북엇국,beginner-recipe-065,phase5-sha256-ac52ac5cb538d80d8fba0136,beginner,,,,pending,,,,
14,북엇국,북엇국,beginner-recipe-065,phase5-sha256-ac52ac5cb538d80d8fba0136,food_safety,,,,pending,,,,
14,북엇국,북엇국,beginner-recipe-065,phase5-sha256-ac52ac5cb538d80d8fba0136,legal_source,,,,pending,,,,
14,북엇국,북엇국,beginner-recipe-065,phase5-sha256-ac52ac5cb538d80d8fba0136,image_rights,,,,pending,,,,
15,제육볶음,제육볶음,curated-jeyuk-bokkeum,phase5-sha256-4f5fc1865f74ddec1a08e644,beginner,,,,pending,,,,
15,제육볶음,제육볶음,curated-jeyuk-bokkeum,phase5-sha256-4f5fc1865f74ddec1a08e644,food_safety,,,,pending,,,,
15,제육볶음,제육볶음,curated-jeyuk-bokkeum,phase5-sha256-4f5fc1865f74ddec1a08e644,legal_source,,,,pending,,,,
15,제육볶음,제육볶음,curated-jeyuk-bokkeum,phase5-sha256-4f5fc1865f74ddec1a08e644,image_rights,,,,pending,,,,
16,간장불고기,간장불고기,phase5-soy-beef-bulgogi,phase5-sha256-5a51ed406fd4defebafb2018,beginner,,,,pending,,,,
16,간장불고기,간장불고기,phase5-soy-beef-bulgogi,phase5-sha256-5a51ed406fd4defebafb2018,food_safety,,,,pending,,,,
16,간장불고기,간장불고기,phase5-soy-beef-bulgogi,phase5-sha256-5a51ed406fd4defebafb2018,legal_source,,,,pending,,,,
16,간장불고기,간장불고기,phase5-soy-beef-bulgogi,phase5-sha256-5a51ed406fd4defebafb2018,image_rights,,,,pending,,,,
17,잔치국수,잔치국수,beginner-recipe-081,phase5-sha256-f57edf8fd0e6ebdb1e954280,beginner,,,,pending,,,,
17,잔치국수,잔치국수,beginner-recipe-081,phase5-sha256-f57edf8fd0e6ebdb1e954280,food_safety,,,,pending,,,,
17,잔치국수,잔치국수,beginner-recipe-081,phase5-sha256-f57edf8fd0e6ebdb1e954280,legal_source,,,,pending,,,,
17,잔치국수,잔치국수,beginner-recipe-081,phase5-sha256-f57edf8fd0e6ebdb1e954280,image_rights,,,,pending,,,,
18,떡볶이,떡볶이,phase5-tteokbokki,phase5-sha256-1b0f27fca9ee4bf28737dc15,beginner,,,,pending,,,,
18,떡볶이,떡볶이,phase5-tteokbokki,phase5-sha256-1b0f27fca9ee4bf28737dc15,food_safety,,,,pending,,,,
18,떡볶이,떡볶이,phase5-tteokbokki,phase5-sha256-1b0f27fca9ee4bf28737dc15,legal_source,,,,pending,,,,
18,떡볶이,떡볶이,phase5-tteokbokki,phase5-sha256-1b0f27fca9ee4bf28737dc15,image_rights,,,,pending,,,,
19,토마토달걀볶음,토마토달걀볶음,beginner-recipe-006,phase5-sha256-b0647712d0aa38bfe7b28198,beginner,,,,pending,,,,
19,토마토달걀볶음,토마토달걀볶음,beginner-recipe-006,phase5-sha256-b0647712d0aa38bfe7b28198,food_safety,,,,pending,,,,
19,토마토달걀볶음,토마토달걀볶음,beginner-recipe-006,phase5-sha256-b0647712d0aa38bfe7b28198,legal_source,,,,pending,,,,
19,토마토달걀볶음,토마토달걀볶음,beginner-recipe-006,phase5-sha256-b0647712d0aa38bfe7b28198,image_rights,,,,pending,,,,
20,닭가슴살 채소볶음,닭가슴살 채소볶음,phase5-chicken-breast-vegetable-stir-fry,phase5-sha256-1782009ac57683905cc79119,beginner,,,,pending,,,,
20,닭가슴살 채소볶음,닭가슴살 채소볶음,phase5-chicken-breast-vegetable-stir-fry,phase5-sha256-1782009ac57683905cc79119,food_safety,,,,pending,,,,
20,닭가슴살 채소볶음,닭가슴살 채소볶음,phase5-chicken-breast-vegetable-stir-fry,phase5-sha256-1782009ac57683905cc79119,legal_source,,,,pending,,,,
20,닭가슴살 채소볶음,닭가슴살 채소볶음,phase5-chicken-breast-vegetable-stir-fry,phase5-sha256-1782009ac57683905cc79119,image_rights,,,,pending,,,,
