inventory_key,inventory_scope,recipe_id,title,category,source,source_url,source_license,content_origin,difficulty,servings,prep_time,cook_time,total_time,ingredient_count,step_count,beginner_review_status,actual_cooking_test_status,image_rights_status,publish_status,last_reviewed_at,reviewer,source_record_status,source_type_original,source_type_app_projection,attribution,current_public_exposure
live_supabase:649744ac-17a9-4b2d-ac9e-ca779f0c5c07,live_supabase,649744ac-17a9-4b2d-ac9e-ca779f0c5c07,새우 두부 계란찜,반찬,mfds:28,,,public_api,,,,,,11,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:a9851b12-1ca9-4c62-a82e-1a7c3bc1ff7d,live_supabase,a9851b12-1ca9-4c62-a82e-1a7c3bc1ff7d,스트로베리 샐러드,반찬,mfds:87,,,public_api,,,,,,8,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:06bd1b81-3731-4c84-9b49-b117c53fb210,live_supabase,06bd1b81-3731-4c84-9b49-b117c53fb210,부추 콩가루 찜,반찬,mfds:29,,,public_api,,,,,,11,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:99cbc385-dd6a-4569-8d48-cfd066a9c19d,live_supabase,99cbc385-dd6a-4569-8d48-cfd066a9c19d,버섯구이와 두부타르타르 소스,반찬,mfds:91,,,public_api,,,,,,14,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:32694962-25b9-4a44-88e4-8f2135d0ab5b,live_supabase,32694962-25b9-4a44-88e4-8f2135d0ab5b,부대된장찌개,국&찌개,mfds:138,,,public_api,,,,,,16,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:2d74d175-97db-45de-902b-9e268960d595,live_supabase,2d74d175-97db-45de-902b-9e268960d595,방울토마토 소박이,반찬,mfds:31,,,public_api,,,,,,12,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:913951d2-bd26-4aef-9276-254833dba0aa,live_supabase,913951d2-bd26-4aef-9276-254833dba0aa,브로콜리 컬리플라워 샐러드와 두유 요거트 소스,반찬,mfds:94,,,public_api,,,,,,14,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:7c83bcb5-ccce-4754-b267-79addd1ba351,live_supabase,7c83bcb5-ccce-4754-b267-79addd1ba351,오렌지와 당근 만남주스,후식,mfds:108,,,public_api,,,,,,4,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:38b919e6-ec22-43a0-8f35-f4dc7d455dba,live_supabase,38b919e6-ec22-43a0-8f35-f4dc7d455dba,사과 새우 북엇국,국&찌개,mfds:33,,,public_api,,,,,,9,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:2aec077b-ee9d-4331-a4d2-1c8ba9fd22bb,live_supabase,2aec077b-ee9d-4331-a4d2-1c8ba9fd22bb,유자 대구조림,반찬,mfds:161,,,public_api,,,,,,12,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:3767046d-ad89-46ca-9d70-90df4c5239ae,live_supabase,3767046d-ad89-46ca-9d70-90df4c5239ae,파프리카 물김치,반찬,mfds:162,,,public_api,,,,,,14,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:b99a2fe3-c71d-4599-9913-f5c0c7c3f536,live_supabase,b99a2fe3-c71d-4599-9913-f5c0c7c3f536,고추장 라따뚜이,반찬,mfds:193,,,public_api,,,,,,14,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:d5e18da2-8c60-4fc6-b64b-c9f9315bce62,live_supabase,d5e18da2-8c60-4fc6-b64b-c9f9315bce62,민들레 샐러드,반찬,mfds:201,,,public_api,,,,,,8,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:358fd96e-82a9-438b-bba3-7a84aad33c24,live_supabase,358fd96e-82a9-438b-bba3-7a84aad33c24,토마토 가지 카프레제,후식,mfds:202,,,public_api,,,,,,9,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:9cb3b217-b911-4747-b6e2-8a9a857ac54b,live_supabase,9cb3b217-b911-4747-b6e2-8a9a857ac54b,우렁된장소스 배추롤,일품,mfds:636,,,public_api,,,,,,11,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:01d9d6dd-43db-4d22-8197-05b8c4e1a17b,live_supabase,01d9d6dd-43db-4d22-8197-05b8c4e1a17b,인삼떡갈비,반찬,mfds:637,,,public_api,,,,,,19,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:0ecf64fb-0aeb-46b7-8ce4-4d0ed4a7f992,live_supabase,0ecf64fb-0aeb-46b7-8ce4-4d0ed4a7f992,초계탕과 사색곤약,반찬,mfds:638,,,public_api,,,,,,16,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:f1c73f02-1dc3-45a9-8d58-415601ce6436,live_supabase,f1c73f02-1dc3-45a9-8d58-415601ce6436,호박잎 삼계탕,일품,mfds:639,,,public_api,,,,,,9,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:d7f351a4-5827-40be-82e5-818bb8ee6c89,live_supabase,d7f351a4-5827-40be-82e5-818bb8ee6c89,석류 보쌈김치,반찬,mfds:159,,,public_api,,,,,,11,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:b4b3492f-8c69-46a3-bb95-b3292df43ecc,live_supabase,b4b3492f-8c69-46a3-bb95-b3292df43ecc,비타 오이 물김치,반찬,mfds:2980,,,public_api,,,,,,10,0,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:8fd800da-0af1-4fd1-b280-4db7853ad4e5,live_supabase,8fd800da-0af1-4fd1-b280-4db7853ad4e5,토란순두부찌개,국&찌개,mfds:283,,,public_api,,,,,,7,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:f0649921-3d4f-4cee-89ec-263f9f4e8c43,live_supabase,f0649921-3d4f-4cee-89ec-263f9f4e8c43,훈제오리가슴살크러스트,반찬,mfds:642,,,public_api,,,,,,10,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:a042770a-6a89-4e48-b0b0-9921ac98f91f,live_supabase,a042770a-6a89-4e48-b0b0-9921ac98f91f,간장소스를 곁들인 새우전복찜,반찬,mfds:643,,,public_api,,,,,,12,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:80b2523e-46f5-49e8-a2bc-4b7e587dc15c,live_supabase,80b2523e-46f5-49e8-a2bc-4b7e587dc15c,검은콩국수,일품,mfds:644,,,public_api,,,,,,7,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:b3a8e31b-97b1-4701-a268-d48bdc0911be,live_supabase,b3a8e31b-97b1-4701-a268-d48bdc0911be,시금치 우유 소스와 그린매쉬드포테이토,반찬,mfds:89,,,public_api,,,,,,10,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:204837f6-ff5a-4341-afa3-bcb01d3e1483,live_supabase,204837f6-ff5a-4341-afa3-bcb01d3e1483,맛간장삼치구이,반찬,mfds:393,,,public_api,,,,,,8,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:b0c7fb12-4842-46fd-ac57-d61ab7befdd3,live_supabase,b0c7fb12-4842-46fd-ac57-d61ab7befdd3,닭고기김치찌개,국&찌개,mfds:271,,,public_api,,,,,,18,5,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:9afee80f-1791-4b4d-aa24-a86f4a055868,live_supabase,9afee80f-1791-4b4d-aa24-a86f4a055868,완자김치찌개,국&찌개,mfds:272,,,public_api,,,,,,10,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:eb98de59-e934-4bad-a636-94e18d49bb6b,live_supabase,eb98de59-e934-4bad-a636-94e18d49bb6b,백김치콩비지찌개,국&찌개,mfds:273,,,public_api,,,,,,7,5,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:30e99587-98c1-47ef-bbcd-e3461e7d2273,live_supabase,30e99587-98c1-47ef-bbcd-e3461e7d2273,오징어김치찌개,국&찌개,mfds:274,,,public_api,,,,,,15,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:ce221181-a745-456e-a429-f99367d69795,live_supabase,ce221181-a745-456e-a429-f99367d69795,삼겹살꼬치구이,반찬,mfds:394,,,public_api,,,,,,12,5,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
