recipeId,title,sourceCategory,categoryStatus,categoryId,ingredientCount,ingredientShape,matchedIngredientCount,unmatchedIngredientCount,stepCount,completeV2StepCount,sourceLinked,conversionStatus,blockers
d9a7d599-09d9-43ef-88ac-a4f54e0a4e3b,두부 해산물 꼬치구이,반찬,mapped,side,7,legacy_strings,0,7,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
625287ad-fa25-416f-9091-10d56cb00bc4,대추죽,일품,mapped,other,6,legacy_strings,0,6,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
7d87ebb1-bb72-4ae1-868c-7efe372b1007,마 두부 오징어전,반찬,mapped,side,12,legacy_strings,0,12,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
1298115a-0e5d-496f-ad5a-53dc9ef48a43,송이 미역국,국&찌개,unresolved,,7,legacy_strings,0,7,6,0,false,needs_structural_normalization,category_unresolved|missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
c14d9e1d-8137-4d74-b1a6-a42b8215a0ae,멸치 찹쌀양념 튀김,반찬,mapped,side,14,legacy_strings,0,14,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
bcb60941-2cbd-4ba7-a5ee-9be000aba041,미역 물오징어 연두부 초회,반찬,mapped,side,13,legacy_strings,0,13,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
aaadd6be-d731-4a4d-941b-dc995da1ccb1,부추조개살 콩비지조림,반찬,mapped,side,9,legacy_strings,0,9,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
6311f66d-3080-4ec9-8c8c-3ce62d64133e,연어냉채,반찬,mapped,side,13,legacy_strings,0,13,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
103c3a46-e4cf-4bfe-8408-27c3a2a8cb4c,시금치 배 미음,밥,mapped,rice,5,legacy_strings,0,5,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
331717eb-0043-402b-bb72-318901ddf21e,오징어말이 케첩조림,반찬,mapped,side,11,legacy_strings,0,11,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
e4de7bc8-b37e-4c9a-83ce-459593a12a1f,오징어보쌈과 저나트륨 된장소스,반찬,mapped,side,10,legacy_strings,0,10,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
6cb18329-2525-4110-9b24-361e0486be70,홍시 생밤 무침,후식,mapped,dessert,5,legacy_strings,0,5,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
56d6cded-d4e6-497a-a76c-778db5071b4f,칠리새우,반찬,mapped,side,15,legacy_strings,0,15,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
2f6337ed-2970-45ff-9ef0-9dd74ec602d6,"연근샐러드, 흑임자소스",반찬,mapped,side,6,legacy_strings,0,6,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
